item,support
Mouse,0.24348083536404838
Desk,0.20205424855952084
Smartphone,0.200414493611788
Laptop,0.19977681113211415
Monitor,0.19927577489808468
Printer,0.19847867179849232
Keyboard,0.1746339019335444
Laptop Bag,0.17137716641235282
Chair,0.11883668496208066
Case,0.11863171559361406
Desk Lamp,0.11844952059942153
USB-C Hub,0.1180623562367624
Printer Paper,0.11742467375708852
HDMI Cable,0.11726525313717005
Monitor Arm,0.11655924753467399
Ink Cartridge,0.11637705254048145
Wireless Charger,0.11505613883258557
Screen Protector,0.1148967182126671
External SSD,0.11243708579106788
